Account,Date,daily_PnL,win_rate,avg_trade_size,num_trades,long_short_ratio,value,classification
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-21,1343.189535,1.0,721.1088000000001,50,0.19047619047619047,76.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-22,554.298224,1.0,767.0084615384616,13,0.4444444444444444,84.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-23,-133.631755,0.09090909090909091,989.034375,16,0.45454545454545453,75.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-24,2109.118305,1.0,921.5711904761904,84,0.8260869565217391,75.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-25,107.54725099999999,1.0,742.9863636363636,33,10.0,75.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-26,1012.208613,1.0,1029.6403703703704,27,1.0769230769230769,73.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-27,-220.548198,0.05555555555555555,1004.7960714285715,56,2.111111111111111,71.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-28,6959.984986,1.0,1173.1775206611571,121,0.4578313253012048,72.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-29,1193.2639530000001,1.0,967.4096052631579,76,0.38181818181818183,72.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-30,1072.220367,0.6528925619834711,1278.6088059701492,268,0.9142857142857143,70.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-01-31,3143.489896,1.0,1556.0202409638553,249,1.3271028037383177,76.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-01,2954.521713,1.0,1204.9785026737968,187,0.6403508771929824,68.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-02,-329.680689,0.6551724137931034,1839.5793129770993,131,1.2586206896551724,60.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-03,5803.573999,0.770949720670391,1758.0771384615382,325,0.6331658291457286,44.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-04,806.765131,0.6339285714285714,1351.8856048387097,248,0.6644295302013423,72.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-05,713.82809,1.0,3668.815,14,3.6666666666666665,54.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-06,1212.452697,1.0,1363.3675862068965,29,3.142857142857143,49.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-07,2631.225181,1.0,2059.84464,125,1.5,44.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-08,-189.463436,0.07692307692307693,2671.7584615384617,13,0.0,44.0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-09,204.72190899999998,1.0,1334.912142857143,56,1.6666666666666667,46.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-10,3796.008199,1.0,1484.4517857142857,140,0.5384615384615384,43.0,Fear
